"","Value","Position","Age.x","MP","Starts_Playing_Time","Min_Playing_Time","Gls","Ast","G+A","PK","xG_Expected","xAG_Expected","npxG+xAG_Expected","Squad","Pos","Age.y"
"148",1e+08,"MF",21,24,16,1476,4,2,6,0,3.1,4.2,7.3,NA,NA,NA
"149",8e+07,"MF",24,27,22,1987,3,1,4,0,1.3,0.9,2.1,NA,NA,NA
"150",8e+07,"MF",22,31,21,1817,0,2,2,0,0.9,1.4,2.3,NA,NA,NA
"151",8e+07,"FW",28,28,17,1368,6,9,15,1,7.4,5.7,12.3,NA,NA,NA
"152",8e+07,"MF",20,12,10,944,1,1,2,0,0.9,1.1,2,NA,NA,NA
"153",7e+07,"FW",22,31,29,2263,5,11,16,0,6,5.7,11.7,NA,NA,NA
"154",7e+07,"DF",17,19,18,1558,0,0,0,0,0.1,0.4,0.5,NA,NA,NA
"155",6e+07,"MF",25,NA,29,2654,4,1,5,0,2.7,1.5,4.1,NA,NA,NA
"156",6e+07,"DF",26,35,32,2899,1,2,3,0,2,2.2,4.2,NA,NA,NA
"157",5.5e+07,"FW",20,37,35,2976,9,10,19,0,6.1,7.9,14,NA,NA,NA
"158",5.5e+07,"DF",25,25,21,1997,1,2,3,0,2.1,1.4,3.5,NA,NA,NA
"159",5e+07,"MF",24,30,25,1975,4,5,9,0,6.3,4.7,10.2,NA,NA,NA
"160",5e+07,"DF",21,18,15,1378,0,1,1,0,0.1,1.2,1.4,NA,NA,NA
"161",5e+07,"MF",21,24,17,1555,0,1,1,0,0.9,1.9,2.8,NA,NA,NA
"162",5e+07,"FW",20,34,21,1918,8,1,9,0,10.8,1.3,12,NA,NA,NA
"163",5e+07,"FW",20,1,1,80,1,0,1,0,0.7,0,0.7,NA,NA,NA
"164",4.5e+07,"MF",27,20,20,1634,2,0,2,0,0.7,2.2,2.9,NA,NA,NA
"165",4.5e+07,"MF",28,NA,27,2482,5,3,8,0,3.3,1.9,5.2,NA,NA,NA
"166",4e+07,"GK",24,37,37,3284,0,0,0,0,0,0.4,0.4,NA,NA,NA
"167",4e+07,"DF",28,NA,28,2469,2,0,2,0,1,0.1,1.2,NA,NA,NA
"168",4e+07,"FW",23,NA,24,2150,7,4,11,0,3.5,6.4,9.9,NA,NA,NA
