"","Team.x","Player","Value","Position.x","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls_Per_Minutes","Age.x.x","Apps.x","Season.x","Comp.x","Nation.x","PK","Gls","Ast","G+A","xG_Expected.x","xAG_Expected","Sh_Standard","SoT_percent_Standard"
"90","Nice","Melvin Bard",1.2e+07,"DF",32,31,2654,29.5,0.03,23,NA,"2023-2024","Ligue 1","FRA",0,1,2,3,0.5,2.8,15,33.3
"91","Olympique Marseille","Azzedine Ounahi",1.2e+07,"MF",21,15,1209,13.4,0.15,24,NA,"2023-2024","Ligue 1","MAR",0,2,0,2,1,1.4,16,25
"92","Reims","Marshall Munetsi",1.2e+07,"MF",27,25,2173,24.1,0.17,27,NA,"2023-2024","Ligue 1","ZIM",0,4,3,7,6.2,1,44,36.4
"93","Lille","Yusuf Yazıcı",1e+07,"MF",27,16,1312,14.6,0.34,27,NA,"2023-2024","Ligue 1","TUR",0,5,2,7,5.4,1.9,40,35
"94","Olympique Marseille","Pau López",1e+07,"GK",33,33,2939,32.7,0,29,NA,"2023-2024","Ligue 1","ESP",0,0,0,0,0,0.5,0,NA
"95","Reims","Yehvann Diouf",1e+07,"GK",34,34,3060,34,0,24,NA,"2023-2024","Ligue 1","FRA",0,0,0,0,0,0,0,NA
"96","Reims","Junya Ito",1e+07,"FW",31,31,2714,30.2,0.1,31,NA,"2023-2024","Ligue 1","JPN",0,3,7,10,4.5,11.5,46,32.6
"97","Reims","Keito Nakamura",1e+07,"FW",25,17,1381,15.3,0.26,23,NA,"2023-2024","Ligue 1","JPN",0,4,1,5,3.2,1.3,41,29.3
"98","Nice","Hicham Boudaoui",9e+06,"MF",29,17,1613,17.9,0.11,24,NA,"2023-2024","Ligue 1","ALG",0,2,0,2,3.3,1.8,29,20.7
"99","Olympique Marseille","Samuel Gigot",9e+06,"DF",21,20,1726,19.2,0.16,30,NA,"2023-2024","Ligue 1","FRA",0,3,0,3,2.4,0.9,19,47.4
