"","Value","Position","Age.x","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"136",3e+07,"DF",25,24.8,19,18,13,6,0,11,26,42.3,15,29,17,12,29,48,86,2
"137",3e+07,"FW",25,1.7,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"138",3e+07,"FW",24,10.5,5,4,1,3,1,0,4,0,4,11,0,11,4,9,6,0
"139",2.8e+07,"DF",24,23.8,48,29,28,19,1,32,44,72.7,12,36,14,22,29,77,69,0
"140",2.8e+07,"MF",27,27.5,81,50,35,38,8,21,53,39.6,32,41,8,33,19,100,27,0
"141",2.8e+07,"FW",26,31.9,24,14,5,16,3,12,40,30,28,28,2,26,11,35,26,0
"142",2.8e+07,"FW",25,19.8,11,7,5,3,3,2,6,33.3,4,11,4,7,2,13,8,0
"143",2.8e+07,"MF",24,11.3,19,13,7,8,4,11,22,50,11,18,5,13,11,30,19,0
"144",1.8e+08,"MF",21,25.7,42,34,14,18,10,12,36,33.3,24,55,5,50,21,63,17,0
"145",1.8e+08,"FW",17,24.5,61,37,32,15,14,18,48,37.5,30,32,0,32,19,80,11,0
"146",1.3e+08,"MF",26,32.3,47,34,22,13,12,24,42,57.1,18,39,2,37,43,90,40,0
"147",1e+08,"FW",23,26.4,16,15,2,9,5,5,19,26.3,14,14,0,14,8,24,6,0
"148",1e+08,"MF",21,16.4,33,24,16,13,4,8,27,29.6,19,27,3,24,14,47,10,0
"149",8e+07,"MF",24,22.1,38,23,19,17,2,9,18,50,9,21,13,8,28,66,52,1
"150",8e+07,"MF",22,20.2,76,47,39,29,8,23,39,59,16,36,8,28,29,105,29,1
"151",8e+07,"FW",28,15.2,14,8,6,6,2,4,18,22.2,14,17,1,16,13,27,11,0
"152",8e+07,"MF",20,10.5,39,21,20,14,5,18,36,50,18,19,3,16,8,47,16,1
"153",7e+07,"FW",22,25.1,31,12,9,15,7,13,36,36.1,23,18,2,16,3,34,4,1
"154",7e+07,"DF",17,17.3,22,14,18,3,1,13,18,72.2,5,20,16,4,12,34,65,0
"155",6e+07,"MF",25,29.5,49,27,18,29,2,23,42,54.8,19,33,9,24,37,86,54,0
"156",6e+07,"DF",26,32.2,37,23,22,10,5,28,51,54.9,23,32,12,20,25,62,83,5
"157",5.5e+07,"FW",20,33.1,42,25,14,22,6,16,28,57.1,12,34,0,34,18,60,11,1
"158",5.5e+07,"DF",25,22.2,27,22,11,15,1,12,17,70.6,5,20,11,9,12,39,66,2
"159",5e+07,"MF",24,21.9,19,11,3,10,6,8,21,38.1,13,5,1,4,10,29,5,0
"160",5e+07,"DF",21,15.3,20,11,11,6,3,7,11,63.6,4,14,1,13,5,25,21,1
"161",5e+07,"MF",21,17.3,45,25,15,29,1,19,40,47.5,21,20,3,17,28,73,24,2
"162",5e+07,"FW",20,21.3,6,3,1,4,1,0,4,0,4,11,2,9,1,7,14,0
"163",5e+07,"FW",20,0.9,1,1,0,1,0,1,1,100,0,0,0,0,0,1,0,0
"164",4.5e+07,"MF",27,18.2,43,26,14,23,6,8,19,42.1,11,18,8,10,14,57,28,1
"165",4.5e+07,"MF",28,27.6,77,43,25,34,18,22,48,45.8,26,36,11,25,16,93,55,3
"166",4e+07,"GK",24,36.5,4,3,4,0,0,4,4,100,0,1,0,1,2,6,22,2
"167",4e+07,"DF",28,27.4,31,22,16,15,0,17,30,56.7,13,26,15,11,28,59,96,1
"168",4e+07,"FW",23,23.9,26,17,15,6,5,9,23,39.1,14,21,2,19,11,37,8,1
"169",4e+07,"DF",26,5.5,7,3,4,3,0,6,9,66.7,3,4,3,1,4,11,19,1
"170",3.5e+07,"MF",27,26.8,42,28,13,20,9,15,43,34.9,28,23,4,19,12,54,21,0
"171",3.5e+07,"FW",27,24,23,18,7,11,5,7,21,33.3,14,25,4,21,4,27,12,0
"172",3.5e+07,"MF",23,29.6,11,6,3,5,3,4,21,19,17,9,0,9,4,15,4,0
"173",3e+07,"FW",27,28.7,4,3,2,1,1,0,2,0,2,8,1,7,0,4,17,0
"174",3e+07,"FW",25,17.1,22,16,9,7,6,8,22,36.4,14,14,1,13,10,32,11,0
"175",3e+07,"DF",20,34.2,57,34,36,18,3,25,39,64.1,14,42,23,19,36,93,137,2
"176",2.8e+07,"GK",27,35.4,2,1,1,1,0,2,3,66.7,1,0,0,0,1,3,9,0
"177",2.8e+07,"FW",24,13.5,9,6,1,6,2,5,16,31.3,11,7,1,6,5,14,6,0
"178",2.8e+07,"MF",29,28.5,40,23,18,17,5,16,44,36.4,28,36,11,25,14,54,35,0
"179",2.7e+07,"FW",24,31.8,21,11,1,15,5,8,38,21.1,30,15,1,14,5,26,17,0
"180",2.5e+07,"GK",29,36.4,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,24,2
"181",2.5e+07,"DF",23,33.7,29,18,11,14,4,13,35,37.1,22,27,11,16,22,51,66,2
"182",2.5e+07,"DF",22,24.9,45,34,25,14,6,20,40,50,20,14,2,12,10,55,31,1
"183",2.5e+07,"FW",28,27.7,6,3,1,2,3,2,6,33.3,4,9,4,5,0,6,26,0
"184",2.5e+07,"GK",31,38,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,10,0
"185",2.5e+07,"MF",30,23.1,31,21,11,14,6,15,38,39.5,23,28,1,27,11,42,15,2
"186",1e+08,"FW",27,29.5,22,16,4,13,5,4,19,21.1,15,30,1,29,20,42,10,0
"187",8.5e+07,"MF",23,30.4,42,21,11,19,12,15,49,30.6,34,15,1,14,13,55,9,0
"188",8e+07,"MF",27,31.6,46,30,17,20,9,19,63,30.2,44,31,1,30,10,56,12,1
"189",7.5e+07,"FW",25,22,9,5,0,4,5,2,4,50,2,5,1,4,2,11,18,0
"190",7.5e+07,"DF",25,25.2,46,33,31,12,3,26,40,65,14,25,11,14,23,69,48,1
"191",7.5e+07,"FW",27,29.9,23,15,9,9,5,4,13,30.8,9,26,3,23,4,27,19,0
"192",7.5e+07,"FW",25,27.9,16,10,3,8,5,8,13,61.5,5,15,1,14,9,25,19,0
"193",6e+07,"DF",27,23.1,42,25,19,14,9,17,35,48.6,18,18,3,15,9,51,34,1
"194",6e+07,"DF",27,35.9,58,42,32,21,5,21,29,72.4,8,45,27,18,40,98,147,0
"195",6e+07,"FW",24,25.6,9,5,0,6,3,4,11,36.4,7,4,2,2,1,10,11,0
"196",5.5e+07,"FW",27,21,20,15,2,11,7,8,22,36.4,14,19,0,19,9,29,0,1
"197",5e+07,"MF",26,29.2,39,24,12,22,5,17,50,34,33,33,3,30,10,49,35,0
"198",5e+07,"MF",25,31.9,83,49,38,38,7,44,63,69.8,19,48,8,40,41,124,33,1
"199",5e+07,"DF",27,31,30,17,19,11,0,11,22,50,11,33,13,20,23,53,42,1
"200",5e+07,"MF",26,28.9,35,26,14,11,10,17,30,56.7,13,20,1,19,10,45,10,1
"201",4.5e+07,"DF",20,28.3,53,33,29,19,5,19,40,47.5,21,44,17,27,59,112,71,0
"202",4.5e+07,"MF",19,10.6,13,9,5,6,2,4,8,50,4,6,0,6,1,14,4,0
"203",4.5e+07,"DF",25,28.1,70,39,43,24,3,24,34,70.6,10,20,12,8,69,139,131,0
"204",4.5e+07,"DF",22,26.1,47,32,28,16,3,22,32,68.8,10,38,13,25,50,97,74,3
"205",4.2e+07,"FW",23,30.7,32,20,8,15,9,13,24,54.2,11,25,2,23,3,35,36,0
"206",4e+07,"MF",30,28.4,66,33,29,29,8,32,49,65.3,17,29,13,16,24,90,22,0
